zikir_id,zikir_text
1,Subhanallah wa bihamdihi
2,Astaghfirullahal 'azhim
3,La ilaha illallah
4,Allahu Akbar
5,Alhamdulillahi rabbil 'alamin
6,La hawla wa la quwwata illa billah
7,Subhanallahi wa bihamdihi subhanallahil 'azhim
8,Astaghfirullahal lazi la ilaha illa huwa al-hayyul qayyum
9,Allahumma inni as'aluka al-jannah
10,Allahumma a'udzu bika min an-nar
